customer_id,age,employment_type,employment_months,monthly_income,monthly_expenses,existing_debt,credit_history_months,income_stability,repayment_history,late_payment_count,transaction_count,avg_transaction,cashflow_volatility,digital_payment_ratio,account_age_months,suspicious_transaction_count,connected_accounts,device_fingerprint,loan_amount,loan_term,p_default,default,risk_band,fraud_flag
27,32,small_business_owner,89,125544.93877746488,90385.84821068657,487956.0346162731,54,0.6795510902602955,0.5934320796406758,1,82,6613.598649562432,0.29182403638413534,0.6680948368963044,54,0,2,device_27,1289564.2469528853,36,0.183907,0,LOW,False
28,54,informal_worker,31,19608.386971819044,8781.98910284981,0.0,7,0.21366237200582516,0.5,4,72,731.8324252374841,0.8328456489442054,0.0,15,0,1,device_28,80209.60863658994,6,0.925355,1,HIGH,False
29,38,salaried,69,74931.61810888803,59619.58180994947,0.0,78,0.9577378490092657,0.5524224506954282,1,26,13758.365033065264,0.1877667086178054,0.7697228725208178,78,0,1,device_29,285434.5043246061,6,0.019593,0,LOW,False
30,45,freelancer,27,58628.1827954965,34947.029566927944,0.0,57,0.6264965083181346,0.8470782416893932,1,51,4111.415243167993,0.3555808291368899,0.7119933646577977,57,1,2,device_30,612358.9830911539,12,0.152359,0,LOW,False
31,36,small_shop_owner,66,81860.8534284643,62527.030539819076,452096.5079007695,35,0.6395486994736989,0.7514022069082038,2,51,7356.121239978715,0.4504697569282975,0.5109119008451422,58,0,2,device_31,653640.2434407969,6,0.529934,1,HIGH,False
32,37,online_seller,9,79212.34259892248,62793.39667252861,0.0,6,0.5727812071404932,0.5,3,89,4233.2626970244,0.18622659627951932,0.7265478509602001,56,2,3,device_32,926637.9580188005,6,0.529773,1,HIGH,False
33,46,driver,60,50681.372410327065,21102.6482214554,337743.64404214214,18,0.40178890221848795,0.6169341002211869,2,82,1544.096211326005,0.5354523441378201,0.4545077075346647,33,2,1,device_33,156748.50975896104,12,0.739281,1,HIGH,False
34,58,small_business_owner,31,166058.10241274396,115538.67557288877,0.0,45,0.6032081314831153,0.8461984534098951,1,69,10046.84135416424,0.42368321328474484,0.507050109880708,45,0,3,device_34,1748228.3664262043,24,0.224947,0,MEDIUM,False
35,53,informal_worker,32,23968.309533567168,13392.91677744895,87459.17037158886,4,0.06757943512557776,0.5,1,47,1709.734056695611,0.9903766791220701,0.27867610629291295,6,1,2,device_35,80730.36649305769,36,0.977755,0,HIGH,False
36,26,salaried,119,123079.29091085927,68548.7202572043,922084.5161469263,64,0.6423194073391338,0.7181606041711552,0,94,4375.450229183253,0.389620619039989,0.6196429128202826,64,1,4,device_36,1350175.8812446282,36,0.108531,0,LOW,False
37,38,freelancer,16,112725.18515383588,78561.24537799724,0.0,9,0.4872737564596384,0.5,2,30,15712.249075599448,0.3810432224345375,0.8753711844471506,57,0,3,device_37,1109017.54888185,12,0.535817,1,HIGH,False
38,32,small_shop_owner,42,89708.59619142636,65115.4669308403,665218.2897767954,63,0.5874412497635259,0.5768882058151681,3,92,4246.660886793933,0.5077641155504632,0.06223340640714303,63,0,0,device_38,400160.09525974386,36,0.538072,1,HIGH,False
39,39,online_seller,8,66126.14608799787,27798.386561383864,0.0,29,0.6835559069992316,0.4041565879606234,1,92,1812.9382540032955,0.2942904814276883,0.9971227036064212,36,0,0,device_39,702765.2479907663,18,0.221034,0,MEDIUM,False
40,28,driver,48,42132.57022775228,24122.19447807988,0.0,48,0.4123826462557574,0.6798426590846224,0,53,2730.81446921659,0.43795348475390994,0.4115670337157099,48,0,2,device_40,278399.21797120175,12,0.219448,1,MEDIUM,False
41,39,small_business_owner,82,57106.10300082228,43830.60597205197,0.0,64,0.6774794810885857,0.6581710265227795,1,29,9068.401235596959,0.44129302823760796,0.44690654707299937,64,1,2,device_41,555606.6270020454,24,0.095776,0,LOW,False
42,54,informal_worker,7,42563.810427080425,27299.14180335535,0.0,2,0.17819185131254206,0.5,3,84,1949.9387002396677,0.8857707896372482,0.26638184363060796,19,0,1,device_42,118373.52921252574,12,0.951192,1,HIGH,False
43,53,salaried,32,61713.073303573794,42586.545896709016,0.0,55,0.7832569649381049,0.7377860242975373,1,40,6387.981884506352,0.237022762751673,0.5859792944307025,55,0,2,device_43,133658.05190577422,36,0.078374,0,LOW,False
44,41,freelancer,57,50152.79804148105,37722.53337339347,0.0,47,0.57985447717613,0.677577959984906,1,90,2514.835558226231,0.45927198881719344,0.4819938732947883,47,0,2,device_44,227525.4437618354,6,0.28044,0,MEDIUM,False
45,36,small_shop_owner,45,56789.15750325869,39202.0014400784,0.0,26,0.6955136041238196,0.9007647389125475,0,90,2613.4667626718933,0.28427807133724003,0.3133158837883516,26,0,1,device_45,618806.7015496141,18,0.21569,0,MEDIUM,False
46,26,online_seller,48,40456.190945770555,19070.105973893704,129348.63569018936,24,0.4132685198690111,0.826394606730044,0,53,2158.879921572872,0.5749703945884768,1.0,35,1,1,device_46,446625.5425479269,24,0.407757,0,MEDIUM,False
47,49,driver,9,28495.18670062553,19873.687174008555,0.0,8,0.7712982340421406,0.5,0,55,2168.0386008009336,0.4192077873643064,0.5553364715476937,8,2,2,device_47,173575.57389233453,6,0.606766,0,HIGH,False
48,34,small_business_owner,105,120146.03849398947,66186.3372134456,524394.4331962761,57,0.8090321631870533,0.6924367446190065,1,76,5225.2371484299165,0.04673792325700557,0.5912383134211976,57,1,1,device_48,867469.1775311492,24,0.112367,0,LOW,False
49,25,informal_worker,5,16355.193509682791,12818.103878144579,0.0,22,0.17905284604517463,0.8038439805137894,0,89,864.1418344816569,0.810605142597362,0.1958026315204673,22,4,1,device_49,123137.96638326586,18,0.851117,1,HIGH,False
50,29,salaried,79,115508.05611695781,53841.13829329418,406534.3975275842,40,0.7830725335005742,0.833320506744133,0,66,4894.648935754016,0.0633632595068139,0.8084537557980003,60,1,2,device_50,1266109.3100762535,6,0.035479,0,LOW,False
51,28,freelancer,49,107718.28288543657,60906.84412105149,0.0,21,0.45978929826238,0.6015230611512711,1,65,5622.170226558598,0.5931520424501922,0.9545143068128548,52,0,2,device_51,1052794.0236277867,36,0.332759,0,MEDIUM,False
52,54,small_shop_owner,91,64136.01164003739,36802.86187941561,0.0,31,0.6996550780628257,0.667621867891791,1,50,4416.343425529873,0.35929961054073456,0.227370323622165,58,0,0,device_52,204563.93250262653,12,0.20186,0,MEDIUM,False
53,25,online_seller,29,72569.04483402142,40651.76368162629,376728.88332495425,4,0.6940367509911186,0.5,0,62,3934.0416466089955,0.012903811423603806,0.9574328604577574,53,1,2,device_53,181500.0357790547,24,0.623821,0,HIGH,False
54,49,driver,53,46794.806074587286,33573.127982543156,153099.86168194594,18,0.5997696176188384,0.7228398807269335,1,33,6104.205087735119,0.3260111729814179,0.6886536635781151,27,0,1,device_54,277459.2230483995,6,0.621204,1,HIGH,False
55,37,small_business_owner,49,158927.01925758517,105524.44496049058,0.0,82,0.8325615058483036,0.5557387099171458,0,49,12921.36060740701,0.24099680339453378,0.6561579677559395,82,0,5,device_55,798576.9331696432,6,0.053901,0,LOW,False
56,43,informal_worker,22,37155.32138059886,23211.953713917523,0.0,8,0.28683189820437793,0.5,3,55,2532.2131324273664,0.7072398371930289,0.09060695954395079,25,0,1,device_56,108390.87049768073,36,0.927251,1,HIGH,False
57,51,salaried,92,119661.87427890857,63494.83260514945,0.0,66,0.8954611124150074,0.949754197112693,1,34,11204.970459732256,0.07715383703036892,0.699475204853911,66,0,2,device_57,887985.6818528675,18,0.009558,0,LOW,False
58,30,freelancer,8,88804.83863097391,57740.13016916601,0.0,12,0.5543271912157355,0.5,2,64,5413.137203359314,0.39563670104457455,0.8227741668818607,49,0,5,device_58,661195.0069623066,18,0.521705,0,HIGH,False
59,60,small_shop_owner,26,53376.11968273156,40836.400316955725,0.0,61,0.5468952777709316,0.706036252944056,2,44,5568.600043221236,0.31537315667703164,0.62080218497352,61,1,2,device_59,223569.4048092536,6,0.174108,0,LOW,False
60,20,online_seller,36,41738.96637744467,22307.473532937493,0.0,37,0.5427697784318456,0.7151061475450607,0,45,2974.3298043916657,0.4343009562129236,0.6610808610417709,37,0,1,device_60,342121.1704610568,24,0.235968,0,MEDIUM,False
61,43,driver,27,27437.42228069881,19653.293593546954,0.0,42,0.5818502823904349,0.7547762617985496,1,35,3369.1360446080494,0.39047970860099374,0.4605866650515751,49,0,5,device_61,254576.28404121398,18,0.338597,1,MEDIUM,False
62,51,small_business_owner,76,119181.33287563607,50123.8145004277,0.0,65,0.7736919012535148,0.6978405088253828,1,57,5276.191000045022,0.3103301150159049,0.8231097434528793,65,1,1,device_62,1286048.5542424093,12,0.041901,0,LOW,False
63,42,informal_worker,12,31015.20039821881,13061.20929223692,0.0,19,0.18136474206784725,0.4968880911470734,2,71,1103.764165541148,0.794245646914419,0.0,38,1,1,device_63,184379.6341190778,6,0.869409,1,HIGH,False
64,31,salaried,79,127709.60229901975,89410.3092953479,0.0,98,0.8393444262744999,0.966263085190062,1,61,8794.456652001434,0.20796429352824763,0.6923631130679144,98,0,3,device_64,1090052.3168570984,24,0.011659,0,LOW,False
65,28,freelancer,38,110006.73592432658,82410.84036055215,0.0,36,0.726754428662749,0.5736053959889175,2,41,12060.122979592998,0.5189879805448402,1.0,45,0,0,device_65,881768.290072408,6,0.237421,0,MEDIUM,False
66,49,small_shop_owner,23,58026.084802314086,42396.445163856755,0.0,42,0.6398179362005588,0.6002917189012142,1,48,5299.555645482094,0.28016089413925616,0.494928687191096,54,0,2,device_66,215834.02924596283,12,0.204153,0,MEDIUM,False
67,21,online_seller,18,63326.422967506245,26837.400959058516,0.0,33,0.5192015060320297,0.9079548706831474,0,29,5552.56571566728,0.37497038888420653,0.7016188300062481,33,0,1,device_67,671438.5919148598,24,0.154336,0,LOW,False
68,40,driver,18,26934.464332542968,13626.761522044975,0.0,48,0.8737959452731274,0.7844534230278977,0,83,985.0670979791548,0.0,0.27840719800294084,48,1,5,device_68,161947.49732278596,12,0.14441,0,LOW,False
69,52,small_business_owner,24,136529.14377463894,63914.2724377546,0.0,120,0.7679425310289799,0.6382762064237871,1,33,11620.776806864473,0.2891111725848686,0.6927286071997951,120,0,3,device_69,862207.4885084758,24,0.007087,0,LOW,False
70,51,informal_worker,30,42983.38858970947,22854.48193544157,0.0,1,0.2794122587740382,0.5,2,35,3917.911188932841,0.7507848154778889,0.0911912716988037,32,0,1,device_70,126646.15652645417,12,0.875333,1,HIGH,False
71,46,salaried,91,95018.70403698721,59393.242914871094,0.0,95,0.9454933611693079,0.8596239493926706,0,76,4688.940230121402,0.11386210832124874,0.9805448480876466,95,1,2,device_71,226659.51634104742,36,0.008837,0,LOW,False
72,39,freelancer,34,42122.59497648595,31206.867148380876,0.0,16,0.6932342286227653,0.42424345646874406,2,80,2340.5150361285655,0.389185733356821,0.7754559817714218,31,0,6,device_72,334568.2700294769,18,0.569956,1,HIGH,False
73,45,small_shop_owner,78,40560.83912645717,24040.629212099564,0.0,74,0.7237124526028477,0.8198370226654967,0,55,2622.6140958654073,0.24153520617780042,0.22299988322991118,74,2,2,device_73,292223.58474101085,6,0.04858,0,LOW,False
74,27,online_seller,20,41437.41901046182,22819.32158010548,0.0,24,0.4827095003094706,0.3469324709813344,1,89,1538.3812301194705,0.5914933899884784,0.6183016851051139,24,0,4,device_74,352909.8460123942,12,0.715382,1,HIGH,False
75,34,driver,50,40015.91424750944,16580.976396624414,0.0,12,0.651335567789656,0.5,3,28,3553.0663707052313,0.27543589407013647,0.6873895453419399,29,1,2,device_75,103971.08401505013,24,0.495085,1,HIGH,False
76,44,small_business_owner,77,130234.72294638057,81654.46832036921,570870.8596670971,31,0.6391473663486109,0.9025861743674639,0,73,6711.326163318017,0.3985474122209263,0.43095181346987044,31,0,6,device_76,1296862.478976942,36,0.40724,0,MEDIUM,False
77,19,informal_worker,25,41967.64728961541,28619.221370918254,205542.02253103125,15,0.47683336707037144,0.7204519124292641,0,65,2641.774280392454,0.4145098469705695,0.25046014080348084,22,0,2,device_77,150044.13486216762,24,0.8775,0,HIGH,False
78,55,salaried,77,79683.38035364714,61712.44915033728,0.0,92,0.8281000188819686,0.7261110131667554,0,89,4160.389830359816,0.11383484084347292,0.8542005917442613,92,1,1,device_78,797298.8522178378,36,0.02001,0,LOW,False
79,37,freelancer,20,115907.44856046273,50562.49445132572,0.0,23,0.7141488940865165,0.7339631885560122,1,23,13190.215943824101,0.3249041655454352,0.9601779412550844,27,1,1,device_79,1068558.626239074,18,0.264101,0,MEDIUM,False
80,53,small_shop_owner,33,45334.69684700622,27158.161828139942,0.0,71,0.5458167883231064,0.7863773652248854,0,99,1645.949201705451,0.5662672768172102,0.3003060999905304,71,0,1,device_80,379727.49195014004,6,0.079253,0,LOW,False
81,38,online_seller,39,62830.35553088706,37084.01324871925,148404.3517447009,45,0.5132121254455531,0.7590119930078632,2,74,3006.811885031291,0.6653197139769197,0.953597913406594,45,2,3,device_81,414497.8019871029,24,0.374846,0,MEDIUM,False
82,30,driver,30,29590.430921464846,19255.380909755742,191853.07425661138,23,0.735005270604963,0.7329868030004236,0,61,1893.97189276286,0.3213260367466795,0.5671876655535818,24,1,1,device_82,200742.94102149308,24,0.651628,1,HIGH,False
83,60,small_business_owner,77,96249.98059292664,59684.216104221756,0.0,56,0.6972777669609224,0.8034008069183725,2,80,4476.3162078166315,0.246092741480977,0.5063094887677231,56,0,1,device_83,569857.6566733413,36,0.052464,0,LOW,False
84,40,informal_worker,15,24415.403163349398,11044.457344499371,113114.85892462877,20,0.3158815807683207,0.8378374846523707,1,25,2650.669762679849,0.6526009802431569,0.0,51,2,3,device_84,52689.79640961417,6,0.796555,1,HIGH,False
85,31,salaried,26,96662.6149076675,60014.442265424004,678540.45508779,103,0.8871269884188334,0.8070136577349561,3,36,10002.407044237334,0.1365685504530912,0.7342562765999741,103,0,3,device_85,357458.3245765677,6,0.021951,0,LOW,False
86,28,freelancer,35,115943.4818407406,85061.74493422775,705861.2317476326,50,0.506143648706293,0.48787669962959535,1,67,7617.469695602485,0.4121988405481495,0.5779751876748839,50,0,2,device_86,730394.137755327,36,0.548978,1,HIGH,False
87,35,small_shop_owner,32,77668.50975403999,42820.76245276365,544514.8734105059,51,0.6909810422644164,0.45758969581189746,0,23,11170.633683329648,0.42798115826434796,0.37704611856906806,51,1,2,device_87,302003.4531643816,36,0.352511,0,MEDIUM,False
88,32,online_seller,28,63559.19523641238,41752.09683969341,390406.7461847335,48,0.38080363562993497,0.6571438504515853,0,95,2636.974537243794,0.5124369874655765,0.8917597700695623,48,0,1,device_88,244941.42203338866,12,0.647365,1,HIGH,False
89,46,driver,25,52862.11566690548,38118.25006074698,0.0,46,0.5738778367878412,0.7267890873404638,1,35,6534.557153270911,0.7175466280537008,0.2834520041010888,53,0,0,device_89,191329.971511974,36,0.327736,0,MEDIUM,False
90,41,small_business_owner,92,81640.15827330694,60446.27913779762,0.0,78,0.7230905341321817,0.46007635148534926,1,28,12952.77410095663,0.2915032952822957,0.5974443165993806,78,2,4,device_90,775053.1788632371,18,0.074749,0,LOW,False
91,44,informal_worker,32,22150.155880861803,13336.84738906239,0.0,3,0.30641494951409687,0.5,2,66,1212.4406717329446,0.6429247808887828,0.39093241531319955,43,10,11,device_91,118914.56131567618,24,0.960065,1,HIGH,True
92,38,salaried,46,134663.58681771345,65724.33524260235,0.0,117,0.8163279463794323,0.5603139607445955,2,54,7302.703915844705,0.1695325034061875,0.8809584900139116,117,0,3,device_92,1462049.5253432558,36,0.002882,0,LOW,False
93,36,freelancer,33,102341.59548598406,50382.61620781079,0.0,58,0.8349527860031718,0.7575920877090319,1,54,5598.068467534532,0.355337960224245,0.6819842552447111,58,1,4,device_93,1199797.8547553145,12,0.11953,0,LOW,False
94,33,small_shop_owner,47,53268.96762368984,25819.94085719019,135303.62236138733,69,0.722754938733045,0.3420357337127415,0,79,1961.0081663688754,0.18319203971683337,0.32060915399501605,69,1,4,device_94,290882.56102780614,36,0.079523,0,LOW,False
95,30,online_seller,4,85760.0210861884,39570.755894979484,0.0,34,0.5633620515277734,0.9001389884959089,1,43,5521.5008225552765,0.46801985048293876,0.8262378870404798,34,0,3,device_95,420081.83932466805,12,0.259648,0,MEDIUM,False
96,30,driver,27,46361.7386076563,21049.70905024867,0.0,20,0.4763139561681192,0.6760844788208331,1,55,2296.3318963907645,0.40201420199324006,0.676319043870645,38,0,3,device_96,445268.19121654006,6,0.233297,0,MEDIUM,False
97,36,small_business_owner,34,142957.90840694605,85306.56254958262,0.0,54,0.7356299044883334,0.5860242817280819,1,82,6241.943601188973,0.1660284976457635,0.7031641697399809,54,0,2,device_97,596014.5689744895,12,0.047511,1,LOW,False
98,49,informal_worker,29,27958.369830014457,19385.958358286964,61309.756178967065,0,0.2639082498183918,0.5,1,48,2423.2447947858705,0.6797446076391013,0.1335481770137799,28,1,3,device_98,309161.3757879383,12,0.952993,1,HIGH,False
99,43,salaried,71,136475.71722611046,66815.54502308984,0.0,84,0.6156621363942102,0.777680583011493,3,64,6263.957345914673,0.1735689248443495,0.8653854312055692,84,0,2,device_99,873183.9796027266,36,0.021546,0,LOW,False
100,44,freelancer,35,112488.54486121453,57105.0573061172,0.0,23,0.6396726461372146,0.47143382783509435,2,49,6992.455996667413,0.27025813549151767,0.6619018855854332,23,0,2,device_100,481302.24702317006,12,0.405339,0,MEDIUM,False
101,39,small_shop_owner,36,36163.58062828114,17025.834172274917,0.0,39,0.729365382787005,0.653193087902545,1,55,1857.3637278845365,0.37500895698504444,0.4590065305381146,49,1,1,device_101,362631.11850739806,36,0.139336,1,LOW,False
102,36,online_seller,41,42502.29229879824,26342.812178539592,0.0,21,0.6314228741680035,0.7589464629337703,2,44,3592.2016607099445,0.4415600047335495,1.0,21,0,1,device_102,234702.96812553148,12,0.399996,1,MEDIUM,False
103,31,driver,6,40371.247962207715,26005.609444333673,0.0,48,0.632008340157197,0.6462035861589324,1,55,2836.975575745492,0.1523893555878049,0.5100379698887235,48,0,2,device_103,413569.3389001487,6,0.16425,0,LOW,False
104,52,small_business_owner,40,189435.93733508326,145862.82814083993,0.0,105,0.6843968726201812,0.6261052176603867,3,82,10672.889863963897,0.02388713931011216,0.7785458555265177,105,1,1,device_104,1780262.1586197477,6,0.018911,0,LOW,False
105,48,informal_worker,31,40469.35267874562,24440.743027616936,0.0,14,0.4354789321154421,0.4051916708053039,1,26,5640.171467911601,0.5241618560326246,0.07052215064835846,19,1,3,device_105,331306.65028648544,24,0.835671,1,HIGH,False
106,27,salaried,75,122363.39315272695,56316.444233107955,309630.0118211035,86,0.5883560549514173,0.8319338634496012,1,100,3378.986653986477,0.23400411541435323,0.6519055299544617,86,0,4,device_106,1327756.5992566333,6,0.018889,0,LOW,False
107,40,freelancer,25,52215.21070731366,21875.51045117104,0.0,11,0.46187346911304394,0.5,1,35,3750.0875059150358,0.49508069754076023,0.8694816045779995,38,0,1,device_107,425233.4214984351,24,0.27182,0,MEDIUM,False
108,42,small_shop_owner,78,40976.683394234766,20460.38327137602,0.0,60,0.6760727789874349,0.8142495848761275,0,76,1615.2934161612648,0.24532956021942956,0.35651865767876956,60,0,2,device_108,402727.27151927265,36,0.068732,1,LOW,False
109,29,online_seller,39,72096.09339679434,37051.84316328502,484870.2728023815,42,0.5605441164496874,0.38264548950187105,2,32,6947.2205931159415,0.29897672878927983,1.0,51,0,2,device_109,490108.1634563649,12,0.680426,1,HIGH,False
110,30,driver,48,29582.245925127467,17797.435348440198,75263.46355215597,8,0.6191157340595569,0.5,2,42,2542.4907640628853,0.3018856305536828,0.5694894781249111,38,0,2,device_110,312233.3176854106,6,0.58026,1,HIGH,False
111,43,small_business_owner,81,196479.05996227186,102279.18949483367,0.0,112,0.6407838149015349,0.6198286930855713,0,57,10766.230473140386,0.2598463973878168,0.6441889263837568,112,0,2,device_111,1102834.8000443347,12,0.007767,0,LOW,False
112,36,informal_worker,30,21414.924638339933,11501.101962082086,0.0,2,0.3122707991576899,0.5,0,53,1302.0115428772172,0.5652587230772561,0.373842437356535,53,0,1,device_112,215636.34679553332,36,0.701697,1,HIGH,False
113,54,salaried,49,123932.32728205464,98789.33118828942,501830.44470720354,78,0.71885257106815,0.8248869788060498,1,48,12348.666398536177,0.33421682273432324,0.7205993553232476,78,0,0,device_113,545610.767437729,12,0.052274,1,LOW,False
114,26,freelancer,10,62348.38497549833,34381.91532758637,268784.28816386627,9,0.39566439559494515,0.5,1,59,3496.465965517258,0.6450619937786017,0.8080588094093616,41,0,5,device_114,607235.5106300133,36,0.732485,0,HIGH,False
115,56,small_shop_owner,27,84252.75174582863,59545.65144220226,0.0,71,0.748251674041693,0.8528078255740926,2,71,5032.026882439627,0.18036637623643587,0.5157811438554742,71,2,1,device_115,400978.9331338559,36,0.094114,1,LOW,False
116,34,online_seller,8,61375.12612998163,34191.714813354636,279294.6182002531,41,0.573829434481782,0.6408038485429185,0,75,2735.3371850683707,0.4305922658082363,0.778631102258844,50,0,1,device_116,338747.6986794812,18,0.352062,0,MEDIUM,False
117,22,driver,11,53836.93263677788,42418.583919745884,0.0,17,0.6117602296919259,0.7713746401093102,1,93,2736.6828335319924,0.42014925371043155,0.7388672274002104,40,0,1,device_117,411240.08759452373,6,0.330216,1,MEDIUM,False
118,51,small_business_owner,58,139678.40498093056,59644.205020596026,708652.4969630605,97,0.8123883227028145,0.8323399617494613,1,42,8520.600717228004,0.2208649086069496,0.4785819406354008,97,1,1,device_118,1675813.0861160432,36,0.034495,0,LOW,False
